"Que tal queridos y queridas, primero quería brindarles una disculpa por mi larga ausencia pero ¡vamos!
Hoy os vengo con está gran dieta para perder peso de forma rápida por si es que tienen alguna fiesta, reunión etc. Muchas veces nos ha pasada esa situación incómoda de que hay un evento importante y ¡maldición! viene la frase “No hay de mi talla” en el vestido (chicas) en el traje (chicos) y nos pone tristes llenandonos de pensamientos tan negativos que optamos por no ir o no queremos asistir debido a que pensamos que por el peso de más que hay en nuestro cuerpo es mejor no asistir ya que creemos que nos veremos horribles. ",1
"¡Let’s go!
La dieta es muy fácil y con ingredientes que la mayoría tenemos en casa, está consiste de la siguiente forma:
 
DÍA 1. Desayuno:
☆ 1/2 rebanada de toronja. ☆ 1 pieza de pan tostado con crema de mani o crema de cacahuete (cómo sea que le llamen en su país, si no tienen pueden sustituirla por philadelphia light). ",1
"☆ 1 taza de café o 1 taza de té. Almuerzo:
☆ 1 rebanada de pan tostado. ☆ 1 lata de atún. ☆ 1 taza de café o té. Cena:
☆ 3 onzas de cualquier carne (del mismo tamaño de una baraja de cartas). ☆ 1/2 platano. ☆ 1 manzana. ☆ 1 taza de helado de vainilla. ☆ 1 taza de ejotes. DÍA 2. ",1
"Desayuno:
☆ 1 huevo cocido. ☆ 1 plátano. ☆ 1 rebanada de pan tostado. Almuerzo:
☆ 1 huevo cocido. ☆ 1 taza de queso cotija. ☆ 5 galletas saladas. Cena:
☆ 2 salchichas (de preferencia que sean de pavo). ☆ 1/2 taza de zanahorias. ☆ 1 taza de brócoli. ☆ 1/2 taza de helado vainilla. ",1
"☆ 1 plátano. DÍA 3. Desayuno:
☆ 1 manzana. ☆ 5 galletas saladas. ☆ 1 rebanada de queso chedar o amarillo (cómo sea que le llamen en su país). Almuerzo:
☆ 1 huevo cocido o revuelto. ☆ 1 rebanada de pan tostado. Cena:
☆ 1 lata de atún. ☆ 1 taza de helado de vainilla. ☆ 1/2 plátano. ",1
"Suele suceder que preguntan “¿Y si no tengo tal ingrediente que hago? ¿Por cuál ingrediente puedo reemplazarlo?”
La solución sería que opten por ingredientes lo más parecidos posibles y saludables (obviamente), ejemplo, comparen las calorías del ingrediente de la dieta y el que consumiran. ",1
"Damos por terminada la dieta queridos príncipes y princesas, recuerden tomar mucha agua natural, hidratense bien, ya que ayuda a la piel, riñones, además llena y sin calorías. (:
No la pongan más días en práctica ya que cómo es muy fuerte pueden sentir demasiada fatiga y no queremos que se desmayen o vayan a parar a un hospital y ¡Oh, interrogatorio! ¿verdad?
Después de la dieta eviten comer a cómo lo hacían, me refiero a toda esa comida con grasas, comida chatarra etc, ya que podrían sufrir de un efecto rebote. ",1
"Eso es todo por ahora. Y todo sea por llegar a nuestra meta. _____________________________________
Cualquier cosa dejen un mensaje acá abajo. (:
Por favor, no dejen teléfonos o nombres completos ya que es información demasiado personal y otras personas pueden hacer mal uso de ella (de igual forma no pienso aprobar esos comentarios con dicha información). ",1
"Hola queridas y queridos seguidores de Ana y Mia, hoy vengo con una nueva entrada cómo se los habia prometido ya hace unos dias, sobre que este Blog si o si iba a crecer mucho más, así que aquí os traigo está extraña y sorprendente dieta. ¡Aquí vamos!
Todo comenzó con el actor japonés Miki Ryosuke el uso este método que hoy les traigo, llamado “La dieta de la respiración prolongada” bajó 13 kilos y redujo 12 centímetros su cintura en apenas unas semanas. ",1
"Él fue quien hizo conocido el ejercicio tras revelar que bajó de peso por el efecto secundario de un ejercicio que doctores orientales le indicaron para un dolor de espalda, y que él realizaba solo 15 minutos al día. “La dieta de la respiración prolongada” no es muy difícil de hacer, cualquiera de vosotros podrá hacerla sin ninguna complicación. ",1
